Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081045.290520, 241.000, 4.903, 1181.719
1460081045.290720, 241.000, 4.903, 1181.719
1460081045.290920, 244.500, 4.903, 1198.881
1460081045.291120, 240.000, 4.903, 1176.816
1460081045.291320, 245.000, 4.903, 1201.333
1460081045.291520, 242.000, 4.903, 1186.623
1460081045.291720, 241.500, 4.903, 1184.171
1460081045.291920, 241.000, 4.903, 1181.719
1460081045.292120, 241.000, 4.903, 1181.719
1460081045.292320, 241.000, 4.903, 1181.719
1460081045.292520, 240.500, 4.903, 1179.268
1460081045.292720, 241.000, 4.903, 1181.719
1460081045.292920, 241.000, 4.903, 1181.719
1460081045.293120, 243.500, 4.903, 1193.978
1460081045.293320, 242.500, 4.903, 1189.075
1460081045.293520, 244.000, 4.903, 1196.430
1460081045.293720, 242.000, 4.903, 1186.623
1460081045.293920, 241.000, 4.903, 1181.719
1460081045.294120, 241.000, 4.903, 1181.719
1460081045.294320, 241.500, 4.903, 1184.171
1460081045.294520, 241.000, 4.903, 1181.719
1460081045.294720, 241.500, 4.903, 1184.171
1460081045.294920, 241.000, 4.903, 1181.719
1460081045.295120, 241.000, 4.903, 1181.719
1460081045.295320, 241.500, 4.903, 1184.171
1460081045.295520, 241.500, 4.903, 1184.171
1460081045.295720, 241.000, 4.903, 1181.719
1460081045.295920, 241.000, 4.903, 1181.719
1460081045.296120, 241.000, 4.903, 1181.719
1460081045.296320, 241.000, 4.903, 1181.719
1460081045.296520, 241.000, 4.903, 1181.719
1460081045.296720, 242.000, 4.903, 1186.623
1460081045.296920, 241.500, 4.903, 1184.171
1460081045.297120, 241.000, 4.903, 1181.719
1460081045.297320, 241.000, 4.903, 1181.719
1460081045.297520, 241.000, 4.903, 1181.719
1460081045.297720, 241.000, 4.903, 1181.719
1460081045.297920, 240.500, 4.903, 1179.268
1460081045.298120, 241.500, 4.903, 1184.171
1460081045.298320, 241.500, 4.903, 1184.171
1460081045.298520, 241.000, 4.903, 1181.719
1460081045.298720, 241.000, 4.903, 1181.719
1460081045.298920, 240.500, 4.903, 1179.268
1460081045.299120, 243.000, 4.903, 1191.526
1460081045.299320, 244.500, 4.903, 1198.881
1460081045.299520, 242.000, 4.903, 1186.623
1460081045.299720, 241.500, 4.903, 1184.171
1460081045.299920, 241.000, 4.903, 1181.719
1460081045.300120, 241.500, 4.903, 1184.171
1460081045.300320, 248.000, 4.903, 1216.043
1460081045.300520, 246.500, 4.903, 1208.688
1460081045.300720, 245.000, 4.903, 1201.333
1460081045.300920, 248.000, 4.903, 1216.043
